35571096	Atractylenolide-1 (AT-1), a natural active ingredient extracted from a, was reported to have good anti-fibrotic and anti-inflammatory effects. Osteogenic changes induced by the inflammation of valve interstitial cells (VICs) play a role in the development of calcified aortic valve disease (CAVD). This study aimed to investigate the anti-osteogenic effects of AT-1 in human VICs. Human VICs were exposed to osteogenic induction medium (OM) containing AT-1 to analyze cell viability, as well as protein and osteogenic gene expression. Anti-calcification tests were also performed. mRNA transcriptome sequencing was performed to identify differential genes and pathways regulated by AT-1. Western blotting was used to verify the enrichment pathway, protein-protein interaction (PPI) analysis was conducted to identify drug targets. Finally, molecular docking and inhibitors are used to verify the drug targets. Treatment of VICs with 20 \xce\xbcM AT-1 resulted in no significant cytotoxicity. The addition of AT-1 to OM prevented the accumulation of calcified nodules, and decreases in the level of (Alkaline Phosphatase) ALP and RUNX2 gene and protein expression were observed. Atractylenolide-1 can target FLT3 protein and inhibit the phosphorylation of FLT3, thereby blocking PI3K/AKT pathway activation, reducing the production of Hypoxia inducible factor(HIF)1-\xce\xb1, and inhibiting the osteogenic differentiation of VICs. These results suggest AT-1 as a potential drug for treating calcified aortic valve disease.
35433352	Calcific aortic valve disease (CAVD) is an active pathobiological process that takes place at the cellular and molecular levels. It involves fibrosis and calcification of aortic valve leaflets, which eventually contributes to heart failure. Galectin-3 (Gal-3), a \xce\xb2-galactoside-binding lectin, is involved in myocardial fibrosis and remodeling. Our study aimed to explore how Gal-3 promoted the osteogenic differentiation of human aortic valve interstitial cells (hVICs) along with elucidating the underlying molecular mechanisms.
35417712	Cellular heterogeneity of aortic valves complicates the mechanistic evaluation of the calcification processes in calcific aortic valve disease (CAVD), and animal disease models are lacking. In this study, we identify a disease-driver population (DDP) within valvular interstitial cells (VICs). Through stepwise single-cell analysis, phenotype-guided omic profiling, and network-based analysis, we characterize the DDP fingerprint as CD44 and discover potential key regulators of human CAVD. These DDP-VICs demonstrate multi-lineage differentiation and osteogenic properties. Temporal proteomic profiling of DDP-VICs identifies potential targets for therapy, including MAOA and CTHRC1. In vitro loss-of-function experiments confirm our targets. Such a stepwise strategy may be advantageous for therapeutic target discovery in other disease contexts.
35409134	Parathyroid hormone (PTH) is a key regulator of calcium, phosphate and vitamin D metabolism. Although it has been reported that aortic valve calcification was positively associated with PTH, the pathophysiological mechanisms and the direct effects of PTH on human valvular cells remain unclear. Here we investigated if PTH induces human valvular endothelial cells (VEC) dysfunction that in turn could impact the switch of valvular interstitial cells (VIC) to an osteoblastic phenotype. Human VEC exposed to PTH were analyzed by qPCR, western blot, Seahorse, ELISA and immunofluorescence. Our results showed that exposure of VEC to PTH affects VEC metabolism and functions, modifications that were accompanied by the activation of p38MAPK and ERK1/2 signaling pathways and by an increased expression of osteogenic molecules (BMP-2, BSP, osteocalcin and Runx2). The impact of dysfunctional VEC on VIC was investigated by exposure of VIC to VEC secretome, and the results showed that VIC upregulate molecules associated with osteogenesis (BMP-2/4, osteocalcin and TGF-\xce\xb21) and downregulate collagen I and III. In summary, our data show that PTH induces VEC dysfunction, which further stimulates VIC to differentiate into a pro-osteogenic pathological phenotype related to the calcification process. These findings shed light on the mechanisms by which PTH participates in valve calcification pathology and suggests that PTH and the treatment of hyperparathyroidism represent a therapeutic strategy to reduce valvular calcification.
35397552	Calcific aortic valve disease (CAVD) is the most commonly valvular disease in the western countries initiated by inflammation and abnormal calcium deposition. Currently, there is no clinical drug for CAVD. Neutrophil elastase (NE) plays a causal role in inflammation and participates actively in cardiovascular diseases. However, the effect of NE on valve calcification remains unclear. So we next explore whether it is involved in valve calcification and the molecular mechanisms involved.
35367413	Recent genome-wide association and transcriptome-wide association studies have identified an association between the PALMD locus, encoding palmdelphin, a protein involved in myoblast differentiation, and calcific aortic valve disease (CAVD). Nevertheless, the function and underlying mechanisms of PALMD in CAVD remain unclear. We herein investigated whether and how PALMD affects the pathogenesis of CAVD using clinical samples from CAVD patients and a human valve interstitial cell (hVIC) in vitro calcification model. We showed that PALMD was upregulated in calcified regions of human aortic valves and calcified hVICs. Furthermore, silencing of PALMD reduced hVIC in vitro calcification, osteogenic differentiation, and apoptosis, whereas overexpression of PALMD had the opposite effect. RNA-Seq of PALMD-depleted hVICs revealed that silencing of PALMD reduced glycolysis and nuclear factor-\xce\xbaB (NF-\xce\xbaB)-mediated inflammation in hVICs and attenuated tumor necrosis factor \xce\xb1-induced monocyte adhesion to hVICs. Having established the role of PALMD in hVIC glycolysis, we examined whether glycolysis itself could regulate hVIC osteogenic differentiation and inflammation. Intriguingly, the inhibition of PFKFB3-mediated glycolysis significantly attenuated osteogenic differentiation and inflammation of hVICs. However, silencing of PFKFB3 inhibited PALMD-induced hVIC inflammation, but not osteogenic differentiation. Finally, we showed that the overexpression of PALMD enhanced hVIC osteogenic differentiation and inflammation, as opposed to glycolysis, through the activation of NF-\xce\xbaB. The present study demonstrates that the genome-wide association- and transcriptome-wide association-identified CAVD risk gene PALMD may promote CAVD development through regulation of glycolysis and NF-\xce\xbaB-mediated inflammation. We propose that targeting PALMD-mediated glycolysis may represent a novel therapeutic strategy for treating CAVD.
35331838	Calcific aortic valve disease (CAVD) is the most frequent pathogeny of aortic valve replacement in developed countries. Iron deposits are found in the intraleaflet hemorrhage (IH) areas of calcific aortic valves. Ferroptosis is a form of regulated cell death that involves metabolic dysfunction resulting from iron overload-dependent excessive lipid peroxidation. In this study, histological analysis showed that ferroptosis occurs in the IH areas of calcific aortic valves. We also demonstrated that Slc7a11 is expressed at low levels in OM-treated valvular interstitial cells (VICs) and IH areas and that low Slc7a11 expression is associated with calcification in CAVD. However, iron overload treatment did not promote VIC calcification under osteogenic conditions in vitro. Using lentiviral transfection to knockdown Slc7a11 in VICs, we found that the degree of iron overload-induced ferroptosis was positively increased in vitro. Finally, we also found that Slc7a11 knockdown promoted the osteogenic differentiation of VICs in vitro. In summary, this study reports a novel mechanism linking ferroptosis and CAVD development in which iron may promote Slc7a11-deficient VIC osteogenic differentiation by aggravating ferroptosis in vitro, thereby accelerating the progression of aortic valve calcification.
35318164	Calcified aortic valve disease (CAVD) is a cardiovascular disease with increasing morbidity and mortality. The pathogenetic cellular mechanism is the phenotypic transition of aortic valve interstitial cells (VICs). Here, we explored the effect of berberine (BBR) on the phenotypic transition of VICs and elucidated the underlying molecular mechanisms, providing a theoretical basis in finding novel clinical treatments for CAVD.
35299058	Activated innate immune cells infiltrating the valve and their secreted cytokines drive the differentiation of valve interstitial cells into myofibroblastic and osteoblastic phenotypes in calcified aortic valve stenosis (CAVS). In this study, we investigated how NLRP3 inhibition with CY-09 reduces aortic valve stenosis and calcification.
35289986	3D heterogeneous and anisotropic scaffolds that approximate native heart valve tissues are indispensable for the successful construction of tissue engineered heart valves (TEHVs). In this study, novel tri-layered and gel-like nanofibrous scaffolds, consisting of poly(lactic-co-glycolic) acid (PLGA) and poly(aspartic acid) (PASP), are fabricated by a combination of positive/negative conjugate electrospinning and bioactive hydrogel post-processing. The nanofibrous PLGA-PASP scaffolds present tri-layered structures, resulting in anisotropic mechanical properties that are comparable with native heart valve leaflets. Biological tests show that nanofibrous PLGA-PASP scaffolds with high PASP ratios significantly promote the proliferation and collagen and glycosaminoglycans (GAGs) secretions of human aortic valvular interstitial cells (HAVICs), compared to PLGA scaffolds. Importantly, the nanofibrous PLGA-PASP scaffolds are found to effectively inhibit the osteogenic differentiation of HAVICs. Two types of porcine VICs, from young and adult age groups, are further seeded onto the PLGA-PASP scaffolds. The adult VICs secrete higher amounts of collagens and GAGs and undergo a significantly higher level of osteogenic differentiation than young VICs. RNA sequencing analysis indicates that age has a pivotal effect on the VIC behaviors. This study provides important guidance and a reference for the design and development of 3D tri-layered, gel-like nanofibrous PLGA-PASP scaffolds for TEHV applications.
